person,age,country,education,gender,FK_1,FK_2,FK_3,FK_4,FK_5,category,recipe_id,recipe_name,Nutri_score,fsa_score,healthiness,title,liked_recipes,prepare_recipes,fit_preference,know_many,recommend_recipe,many_to_choose,easy_choice,choice_overwhelming,sys_time,unders_sys,many_actions,condition,recommender,recipe_popularity,calories,recipe_size,preparation_time,n_ingredient
135,b25_35,GB,MSc,Female,2,3,2,2,2,Meat and Poultry,107,Italian Sausage' Peppers' and Onions,D,10,unhealthy,EvaluateChoices,4,3,4,5,3,2,4,2,2,4,4,No label,CF,,,,,
134,bover_55,GB,BA,Female,4,4,2,2,3,Fruits and Vegetables,956,Pizza On The Grill I,C,7,healthy,EvaluateChoices,4,4,4,5,2,3,2,2,4,3,4,No label,CF,,,,,
133,b18_24,GB,BA,Male,2,1,1,4,2,Meat and Poultry,56,Simple Country Ribs,C,12,unhealthy,EvaluateChoices,5,4,5,2,4,1,5,4,2,5,2,No label,CF,,,,,
132,bover_55,GB,BA,Female,4,4,3,3,4,Fruits and Vegetables,284,Spicy Grilled Shrimp,C,7,healthy,EvaluateChoices,4,4,3,4,4,4,4,1,2,5,2,No label,CF,,,,,
131,bover_55,GB,High_school,Female,5,1,4,2,4,Meat and Poultry,1182,Pork Chops with Fresh Tomato' Onion' Garlic' and Feta,A,8,healthy,EvaluateChoices,5,5,5,3,4,4,4,1,3,4,2,No label,CF,,,,,
130,b25_35,GB,BA,Female,2,3,2,3,3,Meat and Poultry,2625,Teena's Spicy Pesto Chicken and Pasta,A,7,healthy,EvaluateChoices,4,4,4,3,3,2,4,2,2,4,4,No label,CF,,,,,
129,b35_45,GB,BA,Female,4,2,2,1,4,Fruits and Vegetables,761,Sweet' Sticky and Spicy Chicken,C,8,healthy,EvaluateChoices,4,5,5,2,4,2,4,1,1,5,5,No label,CF,,,,,
128,b25_35,GB,BA,Male,4,5,2,3,5,Barbecue,6674,Barbequed Ribs,C,11,unhealthy,EvaluateChoices,5,5,5,1,5,1,5,1,2,3,2,No label,CF,,,,,
127,b25_35,GB,High_school,Male,2,3,2,4,1,Meat and Poultry,352,Easy Herb Roasted Turkey,A,8,healthy,EvaluateChoices,4,3,4,2,4,5,4,1,3,3,3,No label,CF,,,,,
126,b25_35,GB,BA,Male,4,2,2,1,2,Barbecue,980,Tex-Mex Burger with Cajun Mayo,C,10,unhealthy,EvaluateChoices,5,4,5,2,4,2,4,2,2,4,2,No label,CF,,,,,
