person,age,country,education,diet_restriction,diet_goal,cooking_exp,eating_habits,gender,category,recipe_name,healthiness,Nutri_score,fsa_score,SValue_Nor,Slabel,recommend_recipe,become_favorite,enjoy_eating,many_to_choose,easy_choice,choice_overwhelming,condition
4,b35_45,US,BA,['No dietary restrictions'],['No goals'],Low,Unhealthy,Male,Meat and Poultry,Ray's Chicken,healthy,D,8,0.179762626,High,Neutral,Neutral,Agree,Disagree,Neutral,Disagree,No label
5,b25_35,US,High_school,['No dietary restrictions'],"['Eat less salt', 'Eat less sugar', 'Eat more fruit', 'Eat more protein', 'Eat more vegetables']",Medium,Neither_healthy_no_unhealthy,Male,Meat and Poultry,Sarge's EZ Pulled Pork BBQ,healthy,A,7,0.10009697,High,Strongly_Agree,Strongly_Agree,Strongly_Agree,Agree,Agree,Strongly_Agree,No label
6,b35_45,US,BA,['No dietary restrictions'],['Lose weight'],Low,Neither_healthy_no_unhealthy,Male,Meat and Poultry,Bow Ties with Sausage' Tomatoes and Cream,unhealthy,C,10,0.146357026,High,Neutral,Strongly_Agree,Strongly_Agree,Disagree,Agree,Strongly_Disagree,No label
7,b25_35,US,High_school,['No dietary restrictions'],['No goals'],High,Neither_healthy_no_unhealthy,Male,Barbecue,Scott Hibb's Amazing Whisky Grilled Baby Back Ribs,unhealthy,B,12,0.221027799,Medium,Agree,Agree,Strongly_Agree,Strongly_Disagree,Strongly_Agree,Strongly_Disagree,No label
9,b25_35,US,BA,['No dietary restrictions'],['Eat more fruit'],High,Healthy,Female,Fruits and Vegetables,Pizza Without the Red Sauce,healthy,C,7,0.56040592,Low,Agree,Strongly_Agree,Strongly_Agree,Agree,Agree,Strongly_Agree,No label
10,b35_45,US,BA,['No dietary restrictions'],"['Eat less salt', 'Eat less sugar', 'Eat more vegetables']",High,Healthy,Male,Fruits and Vegetables,Cajun Chicken Pasta,unhealthy,C,10,0.511236999,Low,Agree,Agree,Agree,Disagree,Agree,Strongly_Disagree,No label
11,b45_55,US,BA,['No dietary restrictions'],['Lose weight'],Medium,Healthy,Female,Fruits and Vegetables,California Grilled Veggie Sandwich,healthy,B,8,0.271121078,Medium,Agree,Agree,Strongly_Agree,Disagree,Agree,Disagree,No label
13,b18_24,US,BA,['Vegetarian'],"['Eat more fruit', 'Eat more protein', 'Eat more vegetables']",High,Healthy,Female,Fruits and Vegetables,Coconut Shrimp I,healthy,A,7,0.191959552,Medium,Agree,Strongly_Agree,Agree,Strongly_Agree,Agree,Strongly_Agree,No label
14,bover_55,US,BA,['No dietary restrictions'],"['Eat less salt', 'Eat more fruit', 'Eat more vegetables', 'Lose weight']",High,Neither_healthy_no_unhealthy,Male,Meat and Poultry,Chipotle Shrimp Tacos,healthy,A,7,0.173059234,High,Strongly_Agree,Agree,Agree,Disagree,Strongly_Agree,Disagree,No label
16,bover_55,US,BA,['No dietary restrictions'],['Eat more vegetables'],Medium,Neither_healthy_no_unhealthy,Female,Seafood Pasta and Noodles,Margarita Grilled Shrimp,healthy,A,6,0.131352474,High,Neutral,Agree,Agree,Agree,Disagree,Neutral,No label
19,b25_35,US,High_school,"['Halal', ' Lactose intolerance', ' Vegetarian']","['Eat less salt', 'Eat more fruit', 'Eat more vegetables']",High,Healthy,Male,Fruits and Vegetables,Bacon Jack Chicken Sandwich,unhealthy,B,10,0.338754507,Medium,Agree,Agree,Strongly_Agree,Neutral,Agree,Agree,No label
