URL,Name,fiber_g,sodium_g,carbohydrates_g,fat_g,protein_g,sugar_g,saturate_g,size_g,Servings,calories_kCal,category,image_link,fat_100g,fiber_100g,sugar_100g,saturated_100g,protien_100g,sodium_100mg,carbohydrates_100g,kj_100g,Nutri_score,Fsa_new,salt_100g,salt_g,fat_count,satfat_count,sugar_count,salt_count,NumberRatings
http://allrecipes.com/recipe/fiery-pork-skewers/detail.aspx,Fiery Pork Skewers,0.1,0.39,3,6.5,18.1,2.4,1.5,412.02,4,147,Barbecue,http://images.media-allrecipes.com/userphotos/350x350/00/49/75/497595.jpg,6.310373283,0.097082666,2.329983981,1.456239988,,378.622397,2.912479977,597.5045872,B,6,0.961700888,0.9906,2,1,1,2,52
http://allrecipes.com/recipe/skillet-pork-chops-with-potatoes-and-onion/detail.aspx,Skillet Pork Chops with Potatoes and Onion,3,1.08,31.2,16.4,20.9,2.9,4.9,1436.67,4,354,Fruits and Vegetables,http://images.media-allrecipes.com/userphotos/350x350/00/14/64/146487.jpg,4.566114696,0.835264883,0.807422721,1.364265976,,300.695358,8.686754787,412.6562676,B,7,0.763766209,2.7432,2,1,1,3,141
http://allrecipes.com/recipe/baked-honey-mustard-chicken/detail.aspx,Baked Honey Mustard Chicken,1,0.3,24.8,3.7,25.6,23.4,0.9,1006.41,6,232,Meat and Poultry,http://images.media-allrecipes.com/userphotos/350x350/00/24/87/248798.jpg,2.205860435,0.596178496,13.9505768,0.536560646,,178.8535488,14.7852267,579.0905893,B,6,0.454288014,0.762,1,1,2,2,449
http://allrecipes.com/recipe/honeyed-pork-chops/detail.aspx,Honeyed Pork Chops,0.3,0.64,10.6,10.1,25.8,9.3,2.6,1021.46,6,239,Meat and Poultry,http://images.media-allrecipes.com/userphotos/350x350/00/91/29/912998.jpg,5.932684589,0.176218354,5.462768978,1.527225736,,375.9324888,6.226381846,587.7735007,B,8,0.954868522,1.6256,2,2,2,2,161
http://allrecipes.com/recipe/honey-glazed-pork-tenderloin/detail.aspx,Honey Glazed Pork Tenderloin,0.1,0.34,18.9,7.2,17.7,18.5,1.5,887.77,6,210,Meat and Poultry,http://images.media-allrecipes.com/userphotos/350x350/00/76/69/766900.jpg,4.866125235,0.067585073,12.50323845,1.013776091,,229.7892472,12.77357874,594.2268831,B,7,0.583664688,0.8636,2,1,2,2,77
http://allrecipes.com/recipe/maple-salmon/detail.aspx,Maple Salmon,0.1,0.63,14.1,12.4,23.2,11.9,2.5,569.39,4,265,Seafood Pasta and Noodles,http://images.media-allrecipes.com/userphotos/350x350/00/03/13/31397.jpg,8.711076766,0.070250619,8.359823671,1.756265477,,442.5789002,9.905337291,779.4320237,C,8,1.124150407,1.6002,2,2,2,2,731
http://allrecipes.com/recipe/marinated-grilled-shrimp/detail.aspx,Marinated Grilled Shrimp,0.2,0.47,2.8,14.7,31,0.4,2.2,1097.14,6,273,Barbecue,http://images.media-allrecipes.com/userphotos/350x350/02/37/61/2376126.jpg,8.039083435,0.109375285,0.21875057,1.203128133,,257.0319194,1.531253988,625.0777841,A,6,0.652861075,1.1938,2,1,1,2,561
http://allrecipes.com/recipe/spicy-rapid-roast-chicken/detail.aspx,Spicy Rapid Roast Chicken,0.1,0.14,0.2,14.5,23,0,3.8,1379.05,8,229,Meat and Poultry,http://images.media-allrecipes.com/userphotos/350x350/00/95/17/951733.jpg,8.411587687,0.05801095,0,2.204416084,,81.21532939,0.116021899,556.1957579,A,6,0.206286937,0.3556,2,2,1,1,215
http://allrecipes.com/recipe/sloppy-joes-ii/detail.aspx,Sloppy Joes II,0.4,0.42,11.2,9.4,15.1,9.6,3.6,734.84,6,189,Meat and Poultry,http://images.media-allrecipes.com/userphotos/350x350/00/07/82/78203.jpg,7.675140167,0.326601709,7.838441021,2.939415383,,342.9317947,9.144847858,646.1040771,B,8,0.871046758,1.0668,2,2,2,2,1293
http://allrecipes.com/recipe/pork-roast-with-thyme/detail.aspx,Pork Roast with Thyme,0.1,0.25,0.6,11.2,21.8,0.1,4.2,2407.58,12,198,Meat and Poultry,http://images.media-allrecipes.com/userphotos/350x350/00/18/91/189141.jpg,5.582369018,0.049842581,0.049842581,2.093388382,,124.6064513,0.299055483,413.1882139,A,7,0.316500386,0.635,2,2,1,2,73
