id,URL,Name,category,Size,Serving,Calories,AverageRatings,Ratings,image_link
1,http://allrecipes.com/recipe/pineapple-grilled-pork-chops/detail.aspx,Pineapple Grilled Pork Chops,Barbecue,1084.69,4,392,4.65,68,http://images.media-allrecipes.com/userphotos/140x140/00/77/99/779910.jpg
2,http://allrecipes.com/recipe/scott-hibbs-amazing-whisky-grilled-baby-back-ribs/detail.aspx,Scott Hibb's Amazing Whisky Grilled Baby Back Ribs,Barbecue,2799.41,4,1043,4.78,261,http://images.media-allrecipes.com/userphotos/140x140/00/23/86/238636.jpg
3,http://allrecipes.com/recipe/easy-chicken-satay/detail.aspx,Easy Chicken Satay,Barbecue,1110.24,5,418,4.73,80,http://images.media-allrecipes.com/userphotos/140x140/00/05/20/52085.jpg
4,http://allrecipes.com/recipe/big-smokey-burgers/detail.aspx,Big Smokey Burgers,Barbecue,1556.18,6,537,4.52,50,http://images.media-allrecipes.com/userphotos/140x140/00/80/93/809372.jpg
5,http://allrecipes.com/recipe/firecracker-grilled-alaska-salmon/detail.aspx,Firecracker Grilled Alaska Salmon,Barbecue,1201.1,8,307,4.76,242,http://images.media-allrecipes.com/userphotos/140x140/00/03/45/34504.jpg
6,http://allrecipes.com/recipe/chicken-fajita-marinade/detail.aspx,Chicken Fajita Marinade,Barbecue,199.3,6,41,4.35,54,http://images.media-allrecipes.com/userphotos/140x140/00/11/98/119855.jpg
7,http://allrecipes.com/recipe/simple-country-ribs/detail.aspx,Simple Country Ribs,Barbecue,2259.05,4,882,4.75,136,http://images.media-allrecipes.com/userphotos/140x140/01/01/79/1017949.jpg
8,http://allrecipes.com/recipe/grilled-delmonico-steaks/detail.aspx,Grilled Delmonico Steaks,Barbecue,1609.26,4,676,4.38,124,http://images.media-allrecipes.com/userphotos/140x140/00/63/61/636159.jpg
9,http://allrecipes.com/recipe/kickin-london-broil-with-bleu-cheese-butter/detail.aspx,Kickin' London Broil with Bleu Cheese Butter,Barbecue,1004.96,6,227,4.77,75,http://images.media-allrecipes.com/userphotos/140x140/01/01/76/1017600.jpg
10,http://allrecipes.com/recipe/bbq-chicken-salad/detail.aspx,BBQ Chicken Salad,Barbecue,950.9,4,168,4.49,51,http://images.media-allrecipes.com/userphotos/140x140/00/10/91/109140.jpg
11,http://allrecipes.com/recipe/indonesian-satay/detail.aspx,Indonesian Satay,Barbecue,1332.3,6,329,4.54,95,http://images.media-allrecipes.com/userphotos/140x140/00/01/66/16656.jpg
12,http://allrecipes.com/recipe/sensational-sirloin-kabobs/detail.aspx,Sensational Sirloin Kabobs,Barbecue,2419.7,8,326,4.69,116,http://images.media-allrecipes.com/userphotos/140x140/00/04/03/40354.jpg
13,http://allrecipes.com/recipe/maple-garlic-marinated-pork-tenderloin/detail.aspx,Maple-Garlic Marinated Pork Tenderloin,Barbecue,1040.45,6,288,4.38,138,http://images.media-allrecipes.com/userphotos/140x140/00/85/06/850682.jpg
14,http://allrecipes.com/recipe/delectable-marinated-chicken/detail.aspx,Delectable Marinated Chicken,Barbecue,1136.07,4,510,4.45,71,http://images.media-allrecipes.com/userphotos/140x140/01/05/11/1051148.jpg
15,http://allrecipes.com/recipe/grilled-peanut-chicken/detail.aspx,Grilled Peanut Chicken,Barbecue,534.64,4,176,3.95,98,http://images.media-allrecipes.com/userphotos/140x140/00/12/40/124065.jpg
16,http://allrecipes.com/recipe/beer-and-brown-sugar-steak-marinade/detail.aspx,Beer and Brown Sugar Steak Marinade,Barbecue,1031.57,4,390,4.38,112,http://images.media-allrecipes.com/userphotos/140x140/00/18/55/185582.jpg
17,http://allrecipes.com/recipe/london-broil-ii/detail.aspx,London Broil II,Barbecue,1903.55,8,396,4.53,230,http://images.media-allrecipes.com/userphotos/140x140/00/70/32/703264.jpg
18,http://allrecipes.com/recipe/quick-and-easy-grilled-potatoes/detail.aspx,Quick and Easy Grilled Potatoes,Barbecue,766,4,203,4.7,54,http://images.media-allrecipes.com/userphotos/140x140/00/16/55/165514.jpg
19,http://allrecipes.com/recipe/slammin-salmon/detail.aspx,Slammin' Salmon,Barbecue,1273.25,4,664,4.68,102,http://images.media-allrecipes.com/userphotos/140x140/01/12/21/1122176.jpg
20,http://allrecipes.com/recipe/yummy-honey-chicken-kabobs/detail.aspx,Yummy Honey Chicken Kabobs,Barbecue,1803.86,12,178,4.66,552,http://images.media-allrecipes.com/userphotos/140x140/00/25/96/259687.jpg
21,http://allrecipes.com/recipe/grilled-salmon-i/detail.aspx,Grilled Salmon I,Barbecue,978.36,6,318,4.75,788,http://images.media-allrecipes.com/userphotos/140x140/01/28/15/1281540.jpg
22,http://allrecipes.com/recipe/cheddar-bacon-hamburgers/detail.aspx,Cheddar Bacon Hamburgers,Barbecue,786.41,4,446,4.55,148,http://images.media-allrecipes.com/userphotos/140x140/00/02/08/20863.jpg
23,http://allrecipes.com/recipe/grilled-garlic-artichokes/detail.aspx,Grilled Garlic Artichokes,Barbecue,518.55,4,402,4.53,55,http://images.media-allrecipes.com/userphotos/140x140/00/07/16/71683.jpg
24,http://allrecipes.com/recipe/grecian-pork-tenderloin/detail.aspx,Grecian Pork Tenderloin,Barbecue,1496,6,404,4.52,113,http://images.media-allrecipes.com/userphotos/140x140/00/00/36/3622.jpg
25,http://allrecipes.com/recipe/jalapeno-chicken-ii/detail.aspx,Jalapeno Chicken II,Barbecue,1489.35,6,446,4.6,113,http://images.media-allrecipes.com/userphotos/140x140/00/01/72/17213.jpg
26,http://allrecipes.com/recipe/grilled-yellow-squash/detail.aspx,Grilled Yellow Squash,Barbecue,902.4,8,146,4.6,55,http://images.media-allrecipes.com/userphotos/140x140/00/78/93/789315.jpg
27,http://allrecipes.com/recipe/the-best-steak-marinade/detail.aspx,The Best Steak Marinade,Barbecue,262.42,4,156,4.67,90,http://images.media-allrecipes.com/userphotos/140x140/01/30/58/1305801.jpg
28,http://allrecipes.com/recipe/krystals-perfect-marinade-for-bbq-or-grilled-chicken/detail.aspx,Krystal's Perfect Marinade for BBQ or Grilled Chicken,Barbecue,486.25,7,190,4.71,69,http://images.media-allrecipes.com/userphotos/140x140/01/02/91/1029173.jpg
29,http://allrecipes.com/recipe/mushroom-blue-cheese-turkey-burgers/detail.aspx,Mushroom Blue Cheese Turkey Burgers,Barbecue,856.28,4,225,4.45,91,http://images.media-allrecipes.com/userphotos/140x140/00/07/40/74007.jpg
30,http://allrecipes.com/recipe/beer-butt-chicken/detail.aspx,Beer Butt Chicken,Barbecue,2446.09,8,514,4.68,233,http://images.media-allrecipes.com/userphotos/140x140/00/11/01/110132.jpg
31,http://allrecipes.com/recipe/bbq-ny-strip/detail.aspx,BBQ NY Strip,Barbecue,1255.26,4,586,4.66,77,http://images.media-allrecipes.com/userphotos/140x140/00/64/77/647756.jpg
32,http://allrecipes.com/recipe/fiery-fish-tacos-with-crunchy-corn-salsa/detail.aspx,Fiery Fish Tacos with Crunchy Corn Salsa,Barbecue,1805.4,6,351,4.59,167,http://images.media-allrecipes.com/userphotos/140x140/00/42/12/421223.jpg
33,http://allrecipes.com/recipe/grilled-lemon-herb-pork-chops/detail.aspx,Grilled Lemon Herb Pork Chops,Barbecue,785.15,6,202,4.52,185,http://images.media-allrecipes.com/userphotos/140x140/00/65/24/652407.jpg
34,http://allrecipes.com/recipe/chicken-satay/detail.aspx,Chicken Satay,Barbecue,1735.39,12,162,4.29,148,http://images.media-allrecipes.com/userphotos/140x140/00/18/40/184086.jpg
35,http://allrecipes.com/recipe/heathers-grilled-salmon/detail.aspx,Heather's Grilled Salmon,Barbecue,853.69,4,380,4.87,67,http://images.media-allrecipes.com/userphotos/140x140/00/82/95/829598.jpg
36,http://allrecipes.com/recipe/bar-b-que-sauce/detail.aspx,Bar-B-Que Sauce,Barbecue,202.28,8,33,4.55,123,http://images.media-allrecipes.com/userphotos/140x140/00/19/23/192360.jpg
37,http://allrecipes.com/recipe/grilled-chicken-adobo/detail.aspx,Grilled Chicken Adobo,Barbecue,2358.58,8,255,4.16,61,http://images.media-allrecipes.com/userphotos/140x140/00/04/63/46340.jpg
38,http://allrecipes.com/recipe/detroit-hot-honey-wings/detail.aspx,Detroit Hot Honey Wings,Barbecue,1475.16,6,420,4.67,69,http://images.media-allrecipes.com/userphotos/140x140/01/02/53/1025372.jpg
39,http://allrecipes.com/recipe/garlic-and-ranch-turkey-burgers/detail.aspx,Garlic and Ranch Turkey Burgers,Barbecue,609.6,4,219,3.74,65,http://images.media-allrecipes.com/userphotos/140x140/00/51/43/514369.jpg
40,http://allrecipes.com/recipe/portobello-mushroom-burgers/detail.aspx,Portobello Mushroom Burgers,Barbecue,660.05,4,203,4.51,164,http://images.media-allrecipes.com/userphotos/140x140/00/51/00/510073.jpg
41,http://allrecipes.com/recipe/grilled-tilapia-with-mango-salsa/detail.aspx,Grilled Tilapia with Mango Salsa,Barbecue,888.02,2,634,4.76,147,http://images.media-allrecipes.com/userphotos/140x140/00/19/75/197569.jpg
42,http://allrecipes.com/recipe/grilled-halibut-with-cilantro-garlic-butter/detail.aspx,Grilled Halibut with Cilantro Garlic Butter,Barbecue,828.68,4,276,4.48,60,http://images.media-allrecipes.com/userphotos/140x140/00/24/89/248964.jpg
43,http://allrecipes.com/recipe/adobo-sirloin/detail.aspx,Adobo Sirloin,Barbecue,1024.59,4,342,4.42,52,http://images.media-allrecipes.com/userphotos/140x140/00/00/11/1167.jpg
44,http://allrecipes.com/recipe/italian-chicken-marinade/detail.aspx,Italian Chicken Marinade,Barbecue,923.13,4,455,4.49,65,http://images.media-allrecipes.com/userphotos/140x140/00/26/05/260515.jpg
45,http://allrecipes.com/recipe/savory-garlic-marinated-steaks/detail.aspx,Savory Garlic Marinated Steaks,Barbecue,749.58,2,576,4.44,305,http://images.media-allrecipes.com/userphotos/140x140/00/18/24/182467.jpg
46,http://allrecipes.com/recipe/chris-bay-area-burger/detail.aspx,Chris' Bay Area Burger,Barbecue,670.8,4,393,4.45,202,http://images.media-allrecipes.com/userphotos/140x140/00/49/40/494069.jpg
47,http://allrecipes.com/recipe/grilled-brown-sugar-pork-chops/detail.aspx,Grilled Brown Sugar Pork Chops,Barbecue,1107.23,6,262,4.4,219,http://images.media-allrecipes.com/userphotos/140x140/00/37/46/374685.jpg
48,http://allrecipes.com/recipe/pineapple-chicken-tenders/detail.aspx,Pineapple Chicken Tenders,Barbecue,1363,10,160,4.34,166,http://images.media-allrecipes.com/userphotos/140x140/00/44/29/442914.jpg
49,http://allrecipes.com/recipe/barbequed-ribs/detail.aspx,Barbequed Ribs,Barbecue,2324.99,8,588,4.73,84,http://images.media-allrecipes.com/userphotos/140x140/01/02/89/1028928.jpg
50,http://allrecipes.com/recipe/key-west-chicken/detail.aspx,Key West Chicken,Barbecue,562.55,4,184,4.36,307,http://images.media-allrecipes.com/userphotos/140x140/00/96/71/967111.jpg
51,http://allrecipes.com/recipe/a-very-popular-bbq-sauce/detail.aspx,A Very Popular BBQ Sauce,Barbecue,885.78,32,43,4.38,73,http://images.media-allrecipes.com/userphotos/140x140/00/07/84/78443.jpg
52,http://allrecipes.com/recipe/grilled-flat-iron-steak-with-blue-cheese-chive-butter/detail.aspx,Grilled Flat Iron Steak with Blue Cheese-Chive Butter,Barbecue,856.67,4,551,4.76,67,http://images.media-allrecipes.com/userphotos/140x140/00/11/92/119223.jpg
53,http://allrecipes.com/recipe/spicy-chicken-breasts/detail.aspx,Spicy Chicken Breasts,Barbecue,546.37,4,173,4.36,116,http://images.media-allrecipes.com/userphotos/140x140/00/26/01/260182.jpg
54,http://allrecipes.com/recipe/big-als-kc-bar-b-q-sauce/detail.aspx,Big Al's K.C. Bar-B-Q Sauce,Barbecue,1699.12,48,46,4.84,319,http://images.media-allrecipes.com/userphotos/140x140/00/83/88/838827.jpg
55,http://allrecipes.com/recipe/cajun-chicken/detail.aspx,Cajun Chicken,Barbecue,1671.19,10,536,4.51,106,http://images.media-allrecipes.com/userphotos/140x140/00/89/55/895500.jpg
56,http://allrecipes.com/recipe/chili-lime-chicken-kabobs/detail.aspx,Chili-Lime Chicken Kabobs,Barbecue,600.83,4,227,4.5,217,http://images.media-allrecipes.com/userphotos/140x140/00/10/54/105448.jpg
57,http://allrecipes.com/recipe/grilled-buffalo-wings/detail.aspx,Grilled Buffalo Wings,Barbecue,1972.7,8,129,4.54,65,http://images.media-allrecipes.com/userphotos/140x140/00/04/89/48996.jpg
58,http://allrecipes.com/recipe/restaurant-style-tequila-lime-chicken/detail.aspx,Restaurant-Style Tequila Lime Chicken,Barbecue,1555.8,4,1030,4.52,62,http://images.media-allrecipes.com/userphotos/140x140/02/29/47/2294709.jpg
59,http://allrecipes.com/recipe/teriyaki-onion-burgers/detail.aspx,Teriyaki Onion Burgers,Barbecue,899.9,4,600,4.46,50,http://images.media-allrecipes.com/userphotos/140x140/00/33/00/330022.jpg
60,http://allrecipes.com/recipe/feta-cheese-turkey-burgers/detail.aspx,Feta Cheese Turkey Burgers,Barbecue,674.1,4,318,4.53,120,http://images.media-allrecipes.com/userphotos/140x140/00/63/98/639838.jpg
61,http://allrecipes.com/recipe/fiery-pork-skewers/detail.aspx,Fiery Pork Skewers,Barbecue,412.02,4,147,4.48,52,http://images.media-allrecipes.com/userphotos/140x140/00/49/75/497595.jpg
62,http://allrecipes.com/recipe/ten-clove-garlic-marinade/detail.aspx,Ten Clove Garlic Marinade,Barbecue,513.8,6,249,4.69,61,http://images.media-allrecipes.com/userphotos/140x140/00/17/58/175811.jpg
63,http://allrecipes.com/recipe/grilled-salmon-ii/detail.aspx,Grilled Salmon II,Barbecue,591.93,6,233,4.73,73,http://images.media-allrecipes.com/userphotos/140x140/00/79/41/794159.jpg
64,http://allrecipes.com/recipe/hughs-dry-rub/detail.aspx,Hugh's Dry Rub,Barbecue,302.42,36,16,4.43,51,http://images.media-allrecipes.com/userphotos/140x140/00/09/96/99602.jpg
65,http://allrecipes.com/recipe/greek-style-garlic-chicken-breast/detail.aspx,Greek Style Garlic Chicken Breast,Barbecue,819.51,4,644,4.5,74,http://images.media-allrecipes.com/userphotos/140x140/00/07/51/75161.jpg
66,http://allrecipes.com/recipe/grilled-chicken-with-herbs/detail.aspx,Grilled Chicken with Herbs,Barbecue,875.63,6,221,4.44,64,http://images.media-allrecipes.com/userphotos/140x140/00/07/75/77546.jpg
67,http://allrecipes.com/recipe/pretty-chicken-marinade/detail.aspx,Pretty Chicken Marinade,Barbecue,913.5,4,549,4.58,217,http://images.media-allrecipes.com/userphotos/140x140/00/68/49/684961.jpg
68,http://allrecipes.com/recipe/marinated-grilled-shrimp/detail.aspx,Marinated Grilled Shrimp,Barbecue,1097.14,6,273,4.75,561,http://images.media-allrecipes.com/userphotos/140x140/02/37/61/2376126.jpg
69,http://allrecipes.com/recipe/gyros-burgers/detail.aspx,Gyros Burgers,Barbecue,547.7,4,338,4.5,78,http://images.media-allrecipes.com/userphotos/140x140/00/13/12/131225.jpg
70,http://allrecipes.com/recipe/barbequed-marinated-flank-steak/detail.aspx,Barbequed Marinated Flank Steak,Barbecue,949.89,6,388,4.49,85,http://images.media-allrecipes.com/userphotos/140x140/00/00/33/3312.jpg
71,http://allrecipes.com/recipe/grilled-chicken-burgers/detail.aspx,Grilled Chicken Burgers,Barbecue,1568.8,8,486,4.42,50,http://images.media-allrecipes.com/userphotos/140x140/00/23/97/239730.jpg
72,http://allrecipes.com/recipe/homemade-black-bean-veggie-burgers/detail.aspx,Homemade Black Bean Veggie Burgers,Barbecue,700.54,4,198,4.37,637,http://images.media-allrecipes.com/userphotos/140x140/00/15/03/150317.jpg
73,http://allrecipes.com/recipe/bronco-burger/detail.aspx,Bronco Burger,Barbecue,2662.3,8,681,4.64,75,http://images.media-allrecipes.com/userphotos/140x140/00/64/84/648473.jpg
74,http://allrecipes.com/recipe/marinated-tuna-steak/detail.aspx,Marinated Tuna Steak,Barbecue,628.6,4,200,4.62,141,http://images.media-allrecipes.com/userphotos/140x140/00/58/40/584060.jpg
75,http://allrecipes.com/recipe/pesto-turkey-burgers/detail.aspx,Pesto Turkey Burgers,Barbecue,735.8,4,354,4.7,63,http://images.media-allrecipes.com/userphotos/140x140/00/10/54/105405.jpg
76,http://allrecipes.com/recipe/grilled-sea-bass/detail.aspx,Grilled Sea Bass,Barbecue,988.32,6,232,4.71,62,http://images.media-allrecipes.com/userphotos/140x140/00/79/37/793785.jpg
77,http://allrecipes.com/recipe/margarita-grilled-shrimp/detail.aspx,Margarita Grilled Shrimp,Barbecue,555.29,4,188,4.65,68,http://images.media-allrecipes.com/userphotos/140x140/00/84/24/842448.jpg
78,http://allrecipes.com/recipe/barbeque-halibut-steaks/detail.aspx,Barbeque Halibut Steaks,Barbecue,542.24,3,275,4.49,112,http://images.media-allrecipes.com/userphotos/140x140/01/01/71/1017197.jpg
79,http://allrecipes.com/recipe/beer-brats/detail.aspx,Beer Brats,Barbecue,2525.38,10,382,4.6,67,http://images.media-allrecipes.com/userphotos/140x140/00/63/31/633138.jpg
80,http://allrecipes.com/recipe/kabobs/detail.aspx,Kabobs,Barbecue,2162.59,10,304,4.65,55,http://images.media-allrecipes.com/userphotos/140x140/00/83/98/839825.jpg
81,http://allrecipes.com/recipe/favorite-barbecue-chicken/detail.aspx,Favorite Barbecue Chicken,Barbecue,530.38,2,452,4.51,67,http://images.media-allrecipes.com/userphotos/140x140/01/32/07/1320766.jpg
82,http://allrecipes.com/recipe/thai-spiced-barbecue-shrimp/detail.aspx,Thai Spiced Barbecue Shrimp,Barbecue,561.01,8,73,4.41,61,http://images.media-allrecipes.com/userphotos/140x140/00/34/58/345873.jpg
83,http://allrecipes.com/recipe/dry-rub-for-ribs/detail.aspx,Dry Rub for Ribs,Barbecue,90.35,8,27,4.57,117,http://images.media-allrecipes.com/userphotos/140x140/00/08/77/87746.jpg
84,http://allrecipes.com/recipe/rib-eye-steaks-with-a-soy-and-ginger-marinade/detail.aspx,Rib Eye Steaks with a Soy and Ginger Marinade,Barbecue,1483.46,4,467,4.47,91,http://images.media-allrecipes.com/userphotos/140x140/00/07/17/71797.jpg
85,http://allrecipes.com/recipe/souvlaki/detail.aspx,Souvlaki,Barbecue,2520.9,12,189,4.71,224,http://images.media-allrecipes.com/userphotos/140x140/00/03/40/34014.jpg
86,http://allrecipes.com/recipe/grilled-bacon-jalapeno-wraps/detail.aspx,Grilled Bacon Jalapeno Wraps,Barbecue,644,6,391,4.71,329,http://images.media-allrecipes.com/userphotos/140x140/00/63/34/633428.jpg
87,http://allrecipes.com/recipe/steak-tip-marinade/detail.aspx,Steak Tip Marinade,Barbecue,1532.2,8,289,4.5,113,http://images.media-allrecipes.com/userphotos/140x140/00/03/74/37404.jpg
88,http://allrecipes.com/recipe/honey-mustard-grilled-chicken/detail.aspx,Honey Mustard Grilled Chicken,Barbecue,672.94,4,266,4.59,511,http://images.media-allrecipes.com/userphotos/140x140/00/13/05/130521.jpg
89,http://allrecipes.com/recipe/korean-bbq-chicken-marinade/detail.aspx,Korean BBQ Chicken Marinade,Barbecue,731.95,48,20,4.5,131,http://images.media-allrecipes.com/userphotos/140x140/00/30/08/300834.jpg
90,http://allrecipes.com/recipe/marinated-greek-chicken-kabobs/detail.aspx,Marinated Greek Chicken Kabobs,Barbecue,1135.31,4,243,4.42,52,http://images.media-allrecipes.com/userphotos/140x140/00/41/46/414672.jpg
91,http://allrecipes.com/recipe/hawaiian-chicken-kabobs/detail.aspx,Hawaiian Chicken Kabobs,Barbecue,1641.35,8,203,4.54,158,http://images.media-allrecipes.com/userphotos/140x140/00/07/50/75088.jpg
92,http://allrecipes.com/recipe/juiciest-hamburgers-ever/detail.aspx,Juiciest Hamburgers Ever,Barbecue,1129.85,8,288,4.39,216,http://images.media-allrecipes.com/userphotos/140x140/00/24/87/248754.jpg
93,http://allrecipes.com/recipe/spicy-turkey-burgers/detail.aspx,Spicy Turkey Burgers,Barbecue,1260.87,8,204,4.52,92,http://images.media-allrecipes.com/userphotos/140x140/00/00/26/2632.jpg
94,http://allrecipes.com/recipe/lemon-ginger-shrimp/detail.aspx,Lemon Ginger Shrimp,Barbecue,1688.88,9,286,4.54,50,http://images.media-allrecipes.com/userphotos/140x140/00/01/48/14833.jpg
95,http://allrecipes.com/recipe/indian-tandoori-chicken/detail.aspx,Indian Tandoori Chicken,Barbecue,1514.63,4,356,4.41,82,http://images.media-allrecipes.com/userphotos/140x140/00/42/27/422783.jpg
96,http://allrecipes.com/recipe/garlic-corn-on-the-cob/detail.aspx,Garlic Corn on the Cob,Barbecue,1919.72,12,234,4.37,65,http://images.media-allrecipes.com/userphotos/140x140/00/11/67/116792.jpg
97,http://allrecipes.com/recipe/korean-bbq-short-ribs-gal-bi/detail.aspx,Korean BBQ Short Ribs (Gal-Bi),Barbecue,1997.56,5,710,4.63,60,http://images.media-allrecipes.com/userphotos/140x140/00/64/43/644315.jpg
98,http://allrecipes.com/recipe/awesome-steak-marinade/detail.aspx,Awesome Steak Marinade,Barbecue,583.7,2,406,4.56,68,http://images.media-allrecipes.com/userphotos/140x140/00/00/11/1107.jpg
99,http://allrecipes.com/recipe/zucchini-boats-on-the-grill/detail.aspx,Zucchini Boats on the Grill,Barbecue,632.62,4,120,4.45,55,http://images.media-allrecipes.com/userphotos/140x140/00/11/95/119509.jpg
100,http://allrecipes.com/recipe/london-broil-i/detail.aspx,London Broil I,Barbecue,1106.9,6,222,4.58,104,http://images.media-allrecipes.com/userphotos/140x140/00/00/44/4450.jpg
101,http://allrecipes.com/recipe/texas-pork-ribs/detail.aspx,Texas Pork Ribs,Barbecue,5129.15,12,614,4.68,73,http://images.media-allrecipes.com/userphotos/140x140/00/71/69/716987.jpg
102,http://allrecipes.com/recipe/bbq-dry-rub/detail.aspx,BBQ Dry Rub,Barbecue,628.01,30,60,4.63,80,http://images.media-allrecipes.com/userphotos/140x140/00/22/41/224134.jpg
103,http://allrecipes.com/recipe/bada-bing-pork-chops/detail.aspx,Bada Bing Pork Chops,Barbecue,1942.93,6,450,4.44,52,http://images.media-allrecipes.com/userphotos/140x140/00/43/37/433797.jpg
104,http://allrecipes.com/recipe/tex-mex-burger-with-cajun-mayo/detail.aspx,Tex-Mex Burger with Cajun Mayo,Barbecue,1255.6,4,714,4.69,123,http://images.media-allrecipes.com/userphotos/140x140/00/64/49/644995.jpg
105,http://allrecipes.com/recipe/marinated-turkey-breast/detail.aspx,Marinated Turkey Breast,Barbecue,2904.27,12,317,4.44,64,http://images.media-allrecipes.com/userphotos/140x140/01/03/55/1035568.jpg
106,http://allrecipes.com/recipe/asian-beef-skewers/detail.aspx,Asian Beef Skewers,Barbecue,890.66,6,135,4.65,118,http://images.media-allrecipes.com/userphotos/140x140/00/21/55/215561.jpg
107,http://allrecipes.com/recipe/pork-chops-stuffed-with-smoked-gouda-and-bacon/detail.aspx,Pork Chops Stuffed with Smoked Gouda and Bacon,Barbecue,560.48,2,398,4.63,172,http://images.media-allrecipes.com/userphotos/140x140/00/11/74/117431.jpg
