person,age,country,education,diet_restriction,diet_goal,cooking_exp,eating_habits,gender,recipe_name,user_id,recipe_id
4,b35_45,US,BA,No dietary restrictions,No goals,Low,Unhealthy,Male,Ray's Chicken,4,128
5,b25_35,US,High_school,No dietary restrictions,"Eat less salt,Eat less sugar,Eat more fruit,Eat more protein,Eat more vegetables",Medium,Neither_healthy_no_unhealthy,Male,Sarge's EZ Pulled Pork BBQ,5,141
6,b35_45,US,BA,No dietary restrictions,Lose weight,Low,Neither_healthy_no_unhealthy,Male,Bow Ties with Sausage' Tomatoes and Cream,6,28
7,b25_35,US,High_school,No dietary restrictions,No goals,High,Neither_healthy_no_unhealthy,Male,Scott Hibb's Amazing Whisky Grilled Baby Back Ribs,7,143
9,b25_35,US,BA,No dietary restrictions,Eat more fruit,High,Healthy,Female,Pizza Without the Red Sauce,9,121
10,b35_45,US,BA,No dietary restrictions,"Eat less salt,Eat less sugar,Eat more vegetables",High,Healthy,Male,Cajun Chicken Pasta,10,36
11,b45_55,US,BA,No dietary restrictions,Lose weight,Medium,Healthy,Female,California Grilled Veggie Sandwich,11,37
13,b18_24,US,BA,Vegetarian,"Eat more fruit,Eat more protein,Eat more vegetables",High,Healthy,Female,Coconut Shrimp I,13,60
14,bover_55,US,BA,No dietary restrictions,"Eat less salt,Eat more fruit,Eat more vegetables,Lose weight",High,Neither_healthy_no_unhealthy,Male,Chipotle Shrimp Tacos,14,56
16,bover_55,US,BA,No dietary restrictions,Eat more vegetables,Medium,Neither_healthy_no_unhealthy,Female,Margarita Grilled Shrimp,16,111
19,b25_35,US,High_school,"Halal, Lactose intolerance, Vegetarian","Eat less salt,Eat more fruit,Eat more vegetables",High,Healthy,Male,Bacon Jack Chicken Sandwich,19,11
22,b45_55,US,BA,Diabetes,Lose weight,Medium,Healthy,Male,Simple Carnitas,22,149
23,bover_55,US,MSc,No dietary restrictions,Lose weight,Medium,Neither_healthy_no_unhealthy,Male,G's Flank Steak Marinade,23,75
24,b25_35,US,BA,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Male,Foolproof Rib Roast,24,74
25,b45_55,US,High_school,"Diabetes, Lactose intolerance",Eat less sugar,High,Healthy,Female,Chicken Asparagus Roll-Ups,25,41
26,b18_24,US,MSc,Vegetarian,Eat less sugar,Very_Low,Very_Healthy,Female,Spinach and Feta Turkey Burgers,26,167
53,b45_55,US,MSc,"Lactose intolerance, Pescatarian, Vegetarian","Eat more fruit,Eat more protein,Eat more vegetables",High,Healthy,Male,Goat Cheese and Spinach Turkey Burgers,53,81
55,b25_35,US,BA,No dietary restrictions,No goals,Very High,Very_Healthy,Male,Marinated Grilled Shrimp,55,112
56,b45_55,US,MSc,No dietary restrictions,"Eat more fruit,Eat more protein,Eat more vegetables",Medium,Neither_healthy_no_unhealthy,Female,Italian Subs - Restaurant Style,56,98
57,b45_55,US,MSc,"Gluten free, Halal, Pescatarian","Eat more fruit,Eat more vegetables",High,Healthy,Female,Simple Carnitas,57,149
58,b45_55,US,BA,No dietary restrictions,"Eat less salt,Eat more fruit,Eat more vegetables,Lose weight",Medium,Very_Healthy,Male,Hearty Vegetable Lasagna,58,92
59,b45_55,AX,MSc,"Diabetes, Gluten free, Halal, Kosher, Pescatarian, Vegetarian","Eat less salt,Eat less sugar,Eat more protein,Gain weight",Low,Unhealthy,Female,Farmer's Market Vegetarian Quesadillas,59,70
60,b45_55,US,MSc,No dietary restrictions,Lose weight,Medium,Healthy,Female,Marinated Grilled Shrimp,60,112
61,b45_55,US,BA,No dietary restrictions,No goals,High,Healthy,Male,Dee's Roast Pork for Tacos,61,65
62,b45_55,US,BA,Vegetarian,"Eat less salt,Eat less sugar,Eat more fruit,Eat more protein,Eat more vegetables,Lose weight",Very High,Healthy,Male,Souvlaki,62,159
63,b35_45,US,BA,No dietary restrictions,"Eat less sugar,Eat more vegetables",High,Healthy,Female,Jalapeno Chicken II,63,99
